theta,mean,std,median,q25,q75,count
0.002,3763.2,174.2200359330179,3776.0,3607.75,3951.0,240
0.01,3893.108333333333,92.695506007738,3933.5,3883.5,3953.0,240
0.05,3798.804166666667,66.4682828012696,3811.0,3772.0,3841.0,240
0.1,3841.225,84.1673430244722,3838.5,3785.0,3915.5,240
0.2,3842.3,85.80147368798121,3851.5,3787.75,3912.5,240
