theta,mean,std,median,q25,q75,count
0.002,3956.9,7.179232501482622,3957.0,3952.75,3963.0,30
0.01,3934.733333333333,15.802516895415266,3939.0,3923.5,3945.75,30
0.05,3692.633333333333,87.02971483561132,3698.0,3649.25,3757.5,30
0.1,3951.8,9.128961114742541,3954.5,3944.5,3957.75,30
0.2,3947.4,11.752035773753704,3947.0,3940.25,3956.75,30
0.5,3387.0333333333333,50.063052198226,3376.0,3354.25,3418.25,30
1.0,3387.0666666666666,56.673251814805596,3382.0,3343.75,3414.25,30
2.0,3375.5,43.71045010378941,3369.5,3341.5,3403.0,30
